N,step,algorithm,status,time_sec,max_ram_kb,output
37500,algorithm,sl,OK,1965,226916916,experiments_salmonella_algorithms/tree_sl_37500.nwk
37500,algorithm,cl,OK,2118,270162068,experiments_salmonella_algorithms/tree_cl_37500.nwk
37500,algorithm,upgma,OK,2193,263749736,experiments_salmonella_algorithms/tree_upgma_37500.nwk
37500,algorithm,upgmc,OK,647,180132796,experiments_salmonella_algorithms/tree_upgmc_37500.nwk
37500,algorithm,wpgma,OK,2186,226941180,experiments_salmonella_algorithms/tree_wpgma_37500.nwk
37500,algorithm,wpgmc,OK,672,181144956,experiments_salmonella_algorithms/tree_wpgmc_37500.nwk
50000,algorithm,sl,OK,60,35104416,experiments_salmonella_algorithms/tree_sl_50000.nwk
50000,algorithm,cl,OK,58,42485764,experiments_salmonella_algorithms/tree_cl_50000.nwk
50000,algorithm,upgma,OK,58,43283804,experiments_salmonella_algorithms/tree_upgma_50000.nwk
50000,algorithm,upgmc,OK,57,37468664,experiments_salmonella_algorithms/tree_upgmc_50000.nwk
50000,algorithm,wpgma,OK,58,38701600,experiments_salmonella_algorithms/tree_wpgma_50000.nwk
50000,algorithm,wpgmc,OK,59,40781632,experiments_salmonella_algorithms/tree_wpgmc_50000.nwk
62500,algorithm,sl,OK,89,47494188,experiments_salmonella_algorithms/tree_sl_62500.nwk
62500,algorithm,cl,OK,88,44185252,experiments_salmonella_algorithms/tree_cl_62500.nwk
62500,algorithm,upgma,OK,83,40052020,experiments_salmonella_algorithms/tree_upgma_62500.nwk
62500,algorithm,upgmc,OK,84,50537008,experiments_salmonella_algorithms/tree_upgmc_62500.nwk
62500,algorithm,wpgma,OK,83,44334636,experiments_salmonella_algorithms/tree_wpgma_62500.nwk
62500,algorithm,wpgmc,OK,85,42392944,experiments_salmonella_algorithms/tree_wpgmc_62500.nwk
75000,algorithm,sl,FAIL,526,422216084,experiments_salmonella_algorithms/tree_sl_75000.nwk
75000,algorithm,cl,FAIL,544,425039172,experiments_salmonella_algorithms/tree_cl_75000.nwk
75000,algorithm,upgma,FAIL,536,425173332,experiments_salmonella_algorithms/tree_upgma_75000.nwk
75000,algorithm,upgmc,FAIL,522,413647960,experiments_salmonella_algorithms/tree_upgmc_75000.nwk
75000,algorithm,wpgma,FAIL,545,425373660,experiments_salmonella_algorithms/tree_wpgma_75000.nwk
75000,algorithm,wpgmc,FAIL,523,423117816,experiments_salmonella_algorithms/tree_wpgmc_75000.nwk
87500,distance,,OK,18287,73702040,experiments_salmonella_algorithms/dist_87500.txt
